Algoritmo,Tamanho do número,Número primo gerado,Tempo para gerar
Solovay-Strassem,2048 bits,14742445365213401232504076910717446550425524922845301058235123596718589866370939424360349589149095564384954580431195828338438854370993293835102458276423263944983215675781636724235339846958865056559332809632678568513136615185506838119493180237978780265660403055014211778780967237759566193633154969735218065301530264456550984631595336606946092927470310635052424643371076000339994337166845964583192118163744738931246506105592098120042414678239233042161012894057086959798885064674517259624656849729408120668016006689608088605200876525378798055665132362862512152072853438699176688144392149074525084581405386947961235464939,1062 ms
Solovay-Strassem,2048 bits,12571201767689151437924497420536595045377002226403007723098753641124166438875189830833122344385084499482455963852465638147180964375845574348639740644099387138501277220441205725976527550565970181656629210639378576622093565610203214198543436784207943182530716995263445446239630219629688579548880196247107030469030066345613490482218199163061817880741173683304240016182831682075596505063834996518009811958581945462039588734085248645938044531163349298658410719438556465191034515694174770939420394950954540360587121477101242948249535778030441205704555320503702412946214090027530257898051888106242643089613485294821304443673,3415 ms
Solovay-Strassem,2048 bits,8359245522038641498187641035313846650296394174465406847046036715514551779684105845746334327042442200482152365892339585986518927775266356476844286680641838280711983494286552408050075892241189790128004260619798612233244316002646117581353379496044613216034838681696110927013457836883722884388273165990281845318749919918692631503695017719720087139537209637040181134500680673108272686585792816881006134707025211851681419209385612327160923734767254381913358880596555603198496029649827542284703151070021127002785713306295263754121202572369902496006323462793887709583211582527684471077669637480978539142939443476359687908951,51 ms
Solovay-Strassem,2048 bits,14757383936156521614309780277077179664151759954171265320929606069695656590906031503211677413859138400118880150696527868573504169718296030792483915801242315436091349989912111259232590422298608493122877811708253466896054674117702905958361520313778082057205992895381091872909586655032234201666313666800580759667877313857321336542935971750576423750437549852242940431330202498142513894339952777075192349756391511232100027236711699493226288003632893134908212676996648640442463221196253979711308781921160884092585392044901222234869383651821149368937261456207127387385683699738085457675549304822632538106999246873386403924277,1930 ms
Solovay-Strassem,2048 bits,6227123737679714162889519527386274762716379191882712653446348662143852570686262721107929304144361507403706387352933975718650928903244872739476602880551688924979531795519887322067942532284540300887626591292539541956282598988470505414842313136748373177002522805065874989587013161491017132748032377042499621775061094223146227229879687008276397572562855962975752464846488042147626157640135514259667163837738616503689820253394912106090956250981910104030469152753352751109672134635874354009104334657289370425419861198469212228731819094322494103881616618392700055594643623005637926070494525979252242285117663540613293021603,5480 ms
Solovay-Strassem,2048 bits,17905317537443219875959996024806010689748442957733918696515741290476191821507247097354717359212023231704558043066308039148474013954681471021453988940209208071596133310249536638096131952068720636780196524210208062846819104805308692531355320058074724677493313242413150262405010074657363091589400046730076173020156781708956938391375302572268390984824726328549115090771770191563195830841586477331474938756380925671010309794549150907819651653223524323212379700171725388893671875221382317726256259903674634559193892921521935156630864524791105119491576646045491129311418651743315018832592370497461926905894093984010805875831,805 ms
Solovay-Strassem,2048 bits,9522413917288049165861977850487637970212327042827655177827434117072033302615437696758860621847894811561556555214999268512792213353748541118504406892198521520351577505111686510097989846529156141823915560491351482555958638665097197325371160946745195540817430563265066228187047073969142373355370590529020864259059760003246520434136814540959540557964947818114582211373767466657095295956953679160459412960757204432523304745311008360143150477883049576989156184583170605621036813831507683536163513794723814336849790766851153469381257402540123272902053440128998830506447560809473118969881802811880452527944433349586630720129,3645 ms
Solovay-Strassem,2048 bits,10579409467095043922420887989954554171715863312338535322200682751071652902689224181543178781813921571091110765687087372660509094157471568508624927486494088710697365869756562882330794596239302437245559464544067630476395185045755323733248177377796685871074790459245937253301169840383575630178607271553938624318024990927664291406455884554772657790377437131569650365286704285330784239271711880949355497583981376917387216261224790804941931480697683710765454129090402178427929780420967047404636600642777938653136906762623763487900825022709697596974822325360206793056434202679652226780545593478205990767975032410885165558061,1603 ms
Solovay-Strassem,2048 bits,26346010307294551087269104411521305406844125785337936446245935849885892307593557507858667279939615468762422451145452697098065553577225107066746809152387960414868552340295449830917984363297675696718207418989938565297597017856136758669205764315702776961496291224531308880728842416552324729707920911999805751692519669055241136689243297019772624413193965474492189272368592134541952906019512254311627250310625004824601340591210197988015596061398384947936337870307314969601171036091385646725460437808432813253181752565703443798675757017485570231843230598870533502704150433639291365798413727832349678149962327127354485559797,299 ms
Miller-Rabin,4096 bits,424381387001510270496315476640293330119406638944690084383003836423690087489106970392263697970159111407673131222764117992844310964918530287700292985649759833445545741413222761305416294781615173583174883870500481136500148272505266296800283076768093014074587124751756378258472221362511649947464224419822530752529129553780026726871608531507526537926844684994921916677666386498915763509924361974911401812933565377535217337454875602340966567309750288604213273351114860119057518138684103083442488672990696837917615026399465703145499382097859686270038604098220888365581007271050677694977050126925061209101136159613518161823239986471180718076303156182381628513028663527325152047522459156399685372880608165000456956862277327904537656788806281149698594452110452820901582633153613806943627873306287397556932856991314988086056645608250027463481966385753114321310876635958503191461064074624203034115800506352405759575190185763518781755823640388085345435235567735032521762944580566763662941170581716259093308661274750357127807985076325569000782435114334681914279676834257230055234271104487687321716794132964673075556055381680104806732525823812454695818225974527981749611479315973637624565126050834250036225255236143021266060915116458202499163652541,166350 ms
